
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# IsoCurve 0, 100 points
# x y z type
-10 -10  380 i
 5.55556 -9.83936  90.1493 i
 5.75758 -9.83936  89.6389 i
 5.9596 -9.83936  89.2102 i
 6.16162 -9.83936  88.8631 i
 6.36364 -9.83936  88.5976 i
 6.56566 -9.83936  88.4138 i
 6.76768 -9.83936  88.3115 i
 6.9697 -9.83936  88.2909 i
 7.17172 -9.83936  88.352 i
 7.37374 -9.83936  88.4946 i
 7.57576 -9.83936  88.7189 i
 7.77778 -9.83936  89.0248 i
 7.9798 -9.83936  89.4123 i
 8.18182 -9.83936  89.8814 i
 8.38384 -9.83936  90.4322 i
 8.58586 -9.83936  91.0646 i
 8.78788 -9.83936  91.7786 i
 8.9899 -9.83936  92.5742 i
 9.19192 -9.83936  93.4515 i
 9.39394 -9.83936  94.4104 i
 9.59596 -9.83936  95.4509 i
 9.79798 -9.83936  96.573 i
 10 -9.83936  97.7768 i

# IsoCurve 3, 100 points
# x y z type
-10 -9.75904  371.865 i
-9.79798 -9.75904  365.086 i
-9.59596 -9.75904  358.389 i
-9.39394 -9.75904  351.773 i
-9.19192 -9.75904  345.238 i
-8.9899 -9.75904  338.786 i
-8.78788 -9.75904  332.414 i
-8.58586 -9.75904  326.125 i
-8.38384 -9.75904  319.917 i
-8.18182 -9.75904  313.791 i
-7.9798 -9.75904  307.746 i
-7.77778 -9.75904  301.783 i
-7.57576 -9.75904  295.902 i
-7.37374 -9.75904  290.102 i
-7.17172 -9.75904  284.384 i
-6.9697 -9.75904  278.748 i
-6.76768 -9.75904  273.193 i
-6.56566 -9.75904  267.72 i
-6.36364 -9.75904  262.328 i
-6.16162 -9.75904  257.018 i
-5.9596 -9.75904  251.79 i
-5.75758 -9.75904  246.643 i
-5.55556 -9.75904  241.578 i
-5.35354 -9.75904  236.595 i
-5.15152 -9.75904  231.693 i
-4.94949 -9.75904  226.873 i
-4.74747 -9.75904  222.134 i
-4.54545 -9.75904  217.477 i
-4.34343 -9.75904  212.902 i
-4.14141 -9.75904  208.408 i
-3.93939 -9.75904  203.996 i
-3.73737 -9.75904  199.666 i
-3.53535 -9.75904  195.417 i
-3.33333 -9.75904  191.249 i
-3.13131 -9.75904  187.164 i
-2.92929 -9.75904  183.16 i
-2.72727 -9.75904  179.238 i
-2.52525 -9.75904  175.397 i
-2.32323 -9.75904  171.638 i
-2.12121 -9.75904  167.96 i
-1.91919 -9.75904  164.364 i
-1.71717 -9.75904  160.85 i
-1.51515 -9.75904  157.418 i
-1.31313 -9.75904  154.067 i
-1.11111 -9.75904  150.797 i
-0.909091 -9.75904  147.61 i
-0.707071 -9.75904  144.503 i
-0.505051 -9.75904  141.479 i
-0.30303 -9.75904  138.536 i
-0.10101 -9.75904  135.675 i
 0.10101 -9.75904  132.895 i
 0.30303 -9.75904  130.197 i
 0.505051 -9.75904  127.581 i
 0.707071 -9.75904  125.046 i
 0.909091 -9.75904  122.593 i
 1.11111 -9.75904  120.222 i
 1.31313 -9.75904  117.932 i
 1.51515 -9.75904  115.724 i
 1.71717 -9.75904  113.597 i
 1.91919 -9.75904  111.552 i
 2.12121 -9.75904  109.589 i
 2.32323 -9.75904  107.707 i
 2.52525 -9.75904  105.907 i
 2.72727 -9.75904  104.188 i
 2.92929 -9.75904  102.551 i
 3.13131 -9.75904  100.996 i
 3.33333 -9.75904  99.5226 i
 3.53535 -9.75904  98.1306 i
 3.73737 -9.75904  96.8202 i
 3.93939 -9.75904  95.5915 i
 4.14141 -9.75904  94.4444 i
 4.34343 -9.75904  93.3789 i
 4.54545 -9.75904  92.395 i
 4.74747 -9.75904  91.4928 i
 4.94949 -9.75904  90.6722 i
 5.15152 -9.75904  89.9332 i
 5.35354 -9.75904  89.2758 i
 5.55556 -9.75904  88.7 i
 5.75758 -9.75904  88.2059 i
 5.9596 -9.75904  87.7934 i
 6.16162 -9.75904  87.4625 i
 6.36364 -9.75904  87.2133 i
 6.56566 -9.75904  87.0457 i
 6.76768 -9.75904  86.9597 i
 6.9697 -9.75904  86.9553 i
 7.17172 -9.75904  87.0325 i
 7.37374 -9.75904  87.1914 i
 7.57576 -9.75904  87.4319 i
 7.77778 -9.75904  87.754 i
 7.9798 -9.75904  88.1578 i
 8.18182 -9.75904  88.6431 i
 8.38384 -9.75904  89.2101 i
 8.58586 -9.75904  89.8588 i
 8.78788 -9.75904  90.589 i
 8.9899 -9.75904  91.4009 i
 9.19192 -9.75904  92.2944 i
 9.39394 -9.75904  93.2695 i
 9.59596 -9.75904  94.3262 i
 9.79798 -9.75904  95.4646 i
 10 -9.75904  96.6846 i

# IsoCurve 4, 100 points
# x y z type
-10 -9.67871  369.18 i
-9.79798 -9.67871  362.417 i
-9.59596 -9.67871  355.735 i
-9.39394 -9.67871  349.135 i
-9.19192 -9.67871  342.617 i
-8.9899 -9.67871  336.181 i
-8.78788 -9.67871  329.826 i
-8.58586 -9.67871  323.553 i
-8.38384 -9.67871  317.361 i
-8.18182 -9.67871  311.251 i
-7.9798 -9.67871  305.223 i
-7.77778 -9.67871  299.276 i
-7.57576 -9.67871  293.411 i
-7.37374 -9.67871  287.628 i
-7.17172 -9.67871  281.926 i
-6.9697 -9.67871  276.306 i
-6.76768 -9.67871  270.767 i
-6.56566 -9.67871  265.31 i
-6.36364 -9.67871  259.935 i
-6.16162 -9.67871  254.641 i
-5.9596 -9.67871  249.429 i
-5.75758 -9.67871  244.298 i
-5.55556 -9.67871  239.249 i
-5.35354 -9.67871  234.282 i
-5.15152 -9.67871  229.397 i
-4.94949 -9.67871  224.593 i
-4.74747 -9.67871  219.87 i
-4.54545 -9.67871  215.23 i
-4.34343 -9.67871  210.67 i
-4.14141 -9.67871  206.193 i
-3.93939 -9.67871  201.797 i
-3.73737 -9.67871  197.483 i
-3.53535 -9.67871  193.25 i
-3.33333 -9.67871  189.099 i
-3.13131 -9.67871  185.03 i
-2.92929 -9.67871  181.042 i
-2.72727 -9.67871  177.136 i
-2.52525 -9.67871  173.311 i
-2.32323 -9.67871  169.569 i
-2.12121 -9.67871  165.907 i
-1.91919 -9.67871  162.328 i
-1.71717 -9.67871  158.83 i
-1.51515 -9.67871  155.413 i
-1.31313 -9.67871  152.079 i
-1.11111 -9.67871  148.826 i
-0.909091 -9.67871  145.654 i
-0.707071 -9.67871  142.564 i
-0.505051 -9.67871  139.556 i
-0.30303 -9.67871  136.629 i
-0.10101 -9.67871  133.784 i
 0.10101 -9.67871  131.021 i
 0.30303 -9.67871  128.339 i
 0.505051 -9.67871  125.739 i
 0.707071 -9.67871  123.221 i
 0.909091 -9.67871  120.784 i
 1.11111 -9.67871  118.428 i
 1.31313 -9.67871  116.155 i
 1.51515 -9.67871  113.963 i
 1.71717 -9.67871  111.852 i
 1.91919 -9.67871  109.824 i
 2.12121 -9.67871  107.876 i
 2.32323 -9.67871  106.011 i
 2.52525 -9.67871  104.227 i
 2.72727 -9.67871  102.525 i
 2.92929 -9.67871  100.904 i
 3.13131 -9.67871  99.3652 i
 3.33333 -9.67871  97.9078 i
 3.53535 -9.67871  96.532 i
 3.73737 -9.67871  95.2379 i
 3.93939 -9.67871  94.0254 i
 4.14141 -9.67871  92.8945 i
 4.34343 -9.67871  91.8452 i
 4.54545 -9.67871  90.8776 i
 4.74747 -9.67871  89.9915 i
 4.94949 -9.67871  89.1872 i
 5.15152 -9.67871  88.4644 i
 5.35354 -9.67871  87.8232 i
 5.55556 -9.67871  87.2637 i
 5.75758 -9.67871  86.7858 i
 5.9596 -9.67871  86.3896 i
 6.16162 -9.67871  86.0749 i
 6.36364 -9.67871  85.8419 i
 6.56566 -9.67871  85.6905 i
 6.76768 -9.67871  85.6207 i
 6.9697 -9.67871  85.6326 i
 7.17172 -9.67871  85.726 i
 7.37374 -9.67871  85.9011 i
 7.57576 -9.67871  86.1579 i
 7.77778 -9.67871  86.4962 i
 7.9798 -9.67871  86.9162 i
 8.18182 -9.67871  87.4178 i
 8.38384 -9.67871  88.001 i
 8.58586 -9.67871  88.6658 i
 8.78788 -9.67871  89.4123 i
 8.9899 -9.67871  90.2404 i
 9.19192 -9.67871  91.1501 i
 9.39394 -9.67871  92.1415 i
 9.59596 -9.67871  93.2144 i
 9.79798 -9.67871  94.369 i
 10 -9.67871  95.6052 i

# IsoCurve 5, 100 points
# x y z type
-10 -9.59839  366.507 i
-9.79798 -9.59839  359.76 i
-9.59596 -9.59839  353.095 i
-9.39394 -9.59839  346.511 i
-9.19192 -9.59839  340.009 i
-8.9899 -9.59839  333.589 i
-8.78788 -9.59839  327.251 i
-8.58586 -9.59839  320.994 i
-8.38384 -9.59839  314.818 i
-8.18182 -9.59839  308.724 i
-7.9798 -9.59839  302.712 i
-7.77778 -9.59839  296.782 i
-7.57576 -9.59839  290.933 i
-7.37374 -9.59839  285.166 i
-7.17172 -9.59839  279.48 i
-6.9697 -9.59839  273.876 i
-6.76768 -9.59839  268.354 i
-6.56566 -9.59839  262.913 i
-6.36364 -9.59839  257.554 i
-6.16162 -9.59839  252.276 i
-5.9596 -9.59839  247.08 i
-5.75758 -9.59839  241.966 i
-5.55556 -9.59839  236.934 i
-5.35354 -9.59839  231.983 i
-5.15152 -9.59839  227.113 i
-4.94949 -9.59839  222.325 i
-4.74747 -9.59839  217.619 i
-4.54545 -9.59839  212.995 i
-4.34343 -9.59839  208.452 i
-4.14141 -9.59839  203.991 i
-3.93939 -9.59839  199.611 i
-3.73737 -9.59839  195.313 i
-3.53535 -9.59839  191.097 i
-3.33333 -9.59839  186.962 i
-3.13131 -9.59839  182.909 i
-2.92929 -9.59839  178.937 i
-2.72727 -9.59839  175.047 i
-2.52525 -9.59839  171.239 i
-2.32323 -9.59839  167.512 i
-2.12121 -9.59839  163.867 i
-1.91919 -9.59839  160.304 i
-1.71717 -9.59839  156.822 i
-1.51515 -9.59839  153.422 i
-1.31313 -9.59839  150.104 i
-1.11111 -9.59839  146.867 i
-0.909091 -9.59839  143.711 i
-0.707071 -9.59839  140.638 i
-0.505051 -9.59839  137.646 i
-0.30303 -9.59839  134.735 i
-0.10101 -9.59839  131.907 i
 0.10101 -9.59839  129.159 i
 0.30303 -9.59839  126.494 i
 0.505051 -9.59839  123.91 i
 0.707071 -9.59839  121.408 i
 0.909091 -9.59839  118.987 i
 1.11111 -9.59839  116.648 i
 1.31313 -9.59839  114.391 i
 1.51515 -9.59839  112.215 i
 1.71717 -9.59839  110.121 i
 1.91919 -9.59839  108.108 i
 2.12121 -9.59839  106.177 i
 2.32323 -9.59839  104.328 i
 2.52525 -9.59839  102.56 i
 2.72727 -9.59839  100.874 i
 2.92929 -9.59839  99.2698 i
 3.13131 -9.59839  97.747 i
 3.33333 -9.59839  96.3059 i
 3.53535 -9.59839  94.9463 i
 3.73737 -9.59839  93.6684 i
 3.93939 -9.59839  92.4721 i
 4.14141 -9.59839  91.3575 i
 4.34343 -9.59839  90.3244 i
 4.54545 -9.59839  89.373 i
 4.74747 -9.59839  88.5032 i
 4.94949 -9.59839  87.7151 i
 5.15152 -9.59839  87.0085 i
 5.35354 -9.59839  86.3836 i
 5.55556 -9.59839  85.8403 i
 5.75758 -9.59839  85.3786 i
 5.9596 -9.59839  84.9986 i
 6.16162 -9.59839  84.7002 i
 6.36364 -9.59839  84.4834 i
 6.56566 -9.59839  84.3482 i
 6.76768 -9.59839  84.2947 i
 6.9697 -9.59839  84.3227 i
 7.17172 -9.59839  84.4324 i
 7.37374 -9.59839  84.6238 i
 7.57576 -9.59839  84.8967 i
 7.77778 -9.59839  85.2513 i
 7.9798 -9.59839  85.6875 i
 8.18182 -9.59839  86.2053 i
 8.38384 -9.59839  86.8047 i
 8.58586 -9.59839  87.4858 i
 8.78788 -9.59839  88.2485 i
 8.9899 -9.59839  89.0928 i
 9.19192 -9.59839  90.0188 i
 9.39394 -9.59839  91.0263 i
 9.59596 -9.59839  92.1155 i
 9.79798 -9.59839  93.2864 i
 10 -9.59839  94.5388 i

# IsoCurve 6, 100 points
# x y z type
-10 -9.51807  363.847 i
-9.79798 -9.51807  357.116 i
-9.59596 -9.51807  350.467 i
-9.39394 -9.51807  343.9 i
-9.19192 -9.51807  337.414 i
-8.9899 -9.51807  331.01 i
-8.78788 -9.51807  324.688 i
-8.58586 -9.51807  318.447 i
-8.38384 -9.51807  312.288 i
-8.18182 -9.51807  306.211 i
-7.9798 -9.51807  300.215 i
-7.77778 -9.51807  294.3 i
-7.57576 -9.51807  288.468 i
-7.37374 -9.51807  282.717 i
-7.17172 -9.51807  277.047 i
-6.9697 -9.51807  271.46 i
-6.76768 -9.51807  265.953 i
-6.56566 -9.51807  260.529 i
-6.36364 -9.51807  255.186 i
-6.16162 -9.51807  249.925 i
-5.9596 -9.51807  244.745 i
-5.75758 -9.51807  239.647 i
-5.55556 -9.51807  234.631 i
-5.35354 -9.51807  229.696 i
-5.15152 -9.51807  224.843 i
-4.94949 -9.51807  220.071 i
-4.74747 -9.51807  215.381 i
-4.54545 -9.51807  210.773 i
-4.34343 -9.51807  206.246 i
-4.14141 -9.51807  201.801 i
-3.93939 -9.51807  197.438 i
-3.73737 -9.51807  193.156 i
-3.53535 -9.51807  188.956 i
-3.33333 -9.51807  184.837 i
-3.13131 -9.51807  180.8 i
-2.92929 -9.51807  176.845 i
-2.72727 -9.51807  172.971 i
-2.52525 -9.51807  169.179 i
-2.32323 -9.51807  165.469 i
-2.12121 -9.51807  161.84 i
-1.91919 -9.51807  158.293 i
-1.71717 -9.51807  154.828 i
-1.51515 -9.51807  151.444 i
-1.31313 -9.51807  148.141 i
-1.11111 -9.51807  144.921 i
-0.909091 -9.51807  141.782 i
-0.707071 -9.51807  138.724 i
-0.505051 -9.51807  135.748 i
-0.30303 -9.51807  132.854 i
-0.10101 -9.51807  130.042 i
 0.10101 -9.51807  127.311 i
 0.30303 -9.51807  124.661 i
 0.505051 -9.51807  122.094 i
 0.707071 -9.51807  119.608 i
 0.909091 -9.51807  117.203 i
 1.11111 -9.51807  114.88 i
 1.31313 -9.51807  112.639 i
 1.51515 -9.51807  110.48 i
 1.71717 -9.51807  108.402 i
 1.91919 -9.51807  106.406 i
 2.12121 -9.51807  104.491 i
 2.32323 -9.51807  102.658 i
 2.52525 -9.51807  100.906 i
 2.72727 -9.51807  99.2365 i
 2.92929 -9.51807  97.6484 i
 3.13131 -9.51807  96.1418 i
 3.33333 -9.51807  94.7169 i
 3.53535 -9.51807  93.3735 i
 3.73737 -9.51807  92.1119 i
 3.93939 -9.51807  90.9318 i
 4.14141 -9.51807  89.8334 i
 4.34343 -9.51807  88.8166 i
 4.54545 -9.51807  87.8814 i
 4.74747 -9.51807  87.0278 i
 4.94949 -9.51807  86.2559 i
 5.15152 -9.51807  85.5655 i
 5.35354 -9.51807  84.9569 i
 5.55556 -9.51807  84.4298 i
 5.75758 -9.51807  83.9843 i
 5.9596 -9.51807  83.6205 i
 6.16162 -9.51807  83.3383 i
 6.36364 -9.51807  83.1378 i
 6.56566 -9.51807  83.0188 i
 6.76768 -9.51807  82.9815 i
 6.9697 -9.51807  83.0258 i
 7.17172 -9.51807  83.1517 i
 7.37374 -9.51807  83.3593 i
 7.57576 -9.51807  83.6485 i
 7.77778 -9.51807  84.0193 i
 7.9798 -9.51807  84.4717 i
 8.18182 -9.51807  85.0057 i
 8.38384 -9.51807  85.6214 i
 8.58586 -9.51807  86.3187 i
 8.78788 -9.51807  87.0976 i
 8.9899 -9.51807  87.9582 i
 9.19192 -9.51807  88.9003 i
 9.39394 -9.51807  89.9241 i
 9.59596 -9.51807  91.0296 i
 9.79798 -9.51807  92.2166 i
 10 -9.51807  93.4853 i

# IsoCurve 7, 100 points
# x y z type
-10 -9.43775  361.2 i
-9.79798 -9.43775  354.485 i
-9.59596 -9.43775  347.853 i
-9.39394 -9.43775  341.302 i
-9.19192 -9.43775  334.832 i
-8.9899 -9.43775  328.444 i
-8.78788 -9.43775  322.138 i
-8.58586 -9.43775  315.914 i
-8.38384 -9.43775  309.771 i
-8.18182 -9.43775  303.71 i
-7.9798 -9.43775  297.73 i
-7.77778 -9.43775  291.832 i
-7.57576 -9.43775  286.015 i
-7.37374 -9.43775  280.281 i
-7.17172 -9.43775  274.627 i
-6.9697 -9.43775  269.056 i
-6.76768 -9.43775  263.566 i
-6.56566 -9.43775  258.158 i
-6.36364 -9.43775  252.831 i
-6.16162 -9.43775  247.586 i
-5.9596 -9.43775  242.422 i
-5.75758 -9.43775  237.341 i
-5.55556 -9.43775  232.341 i
-5.35354 -9.43775  227.422 i
-5.15152 -9.43775  222.585 i
-4.94949 -9.43775  217.83 i
-4.74747 -9.43775  213.156 i
-4.54545 -9.43775  208.564 i
-4.34343 -9.43775  204.054 i
-4.14141 -9.43775  199.625 i
-3.93939 -9.43775  195.278 i
-3.73737 -9.43775  191.012 i
-3.53535 -9.43775  186.828 i
-3.33333 -9.43775  182.726 i
-3.13131 -9.43775  178.705 i
-2.92929 -9.43775  174.766 i
-2.72727 -9.43775  170.909 i
-2.52525 -9.43775  167.133 i
-2.32323 -9.43775  163.439 i
-2.12121 -9.43775  159.826 i
-1.91919 -9.43775  156.295 i
-1.71717 -9.43775  152.846 i
-1.51515 -9.43775  149.478 i
-1.31313 -9.43775  146.192 i
-1.11111 -9.43775  142.988 i
-0.909091 -9.43775  139.865 i
-0.707071 -9.43775  136.824 i
-0.505051 -9.43775  133.864 i
-0.30303 -9.43775  130.986 i
-0.10101 -9.43775  128.19 i
 0.10101 -9.43775  125.475 i
 0.30303 -9.43775  122.842 i
 0.505051 -9.43775  120.29 i
 0.707071 -9.43775  117.821 i
 0.909091 -9.43775  115.432 i
 1.11111 -9.43775  113.126 i
 1.31313 -9.43775  110.901 i
 1.51515 -9.43775  108.758 i
 1.71717 -9.43775  106.696 i
 1.91919 -9.43775  104.716 i
 2.12121 -9.43775  102.817 i
 2.32323 -9.43775  101.001 i
 2.52525 -9.43775  99.2653 i
 2.72727 -9.43775  97.6118 i
 2.92929 -9.43775  96.0398 i
 3.13131 -9.43775  94.5495 i
 3.33333 -9.43775  93.1408 i
 3.53535 -9.43775  91.8137 i
 3.73737 -9.43775  90.5682 i
